location_id,parent_location_id,higher_geography_id,higher_geography,continent,water_body,island_group,island,country,country_code,state_province,county,municipality,locality,minimum_elevation_in_meters,maximum_elevation_in_meters,minimum_distance_above_surface_in_meters,maximum_distance_above_surface_in_meters,minimum_depth_in_meters,maximum_depth_in_meters,vertical_datum,location_according_to,location_remarks,accepted_georeference_id,accepted_geological_context_id
23.09,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
30.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
31.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
1.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
2.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
3.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.11,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
4.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.11,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
5.13,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
6.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
7.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
8.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
9.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.09,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.11,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.13,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.14,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
10.15,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
11.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
12.11,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
13.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.11,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
14.13,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
15.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
15.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
15.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
15.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
15.12,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
16.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
16.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
16.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
16.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
16.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
17.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.07,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
18.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.05,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
19.08,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
23.01,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
23.02,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
23.03,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
23.04,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
23.06,,,,,,,,,,,,,Ningaloo Marine Park,,,,,,,,,,,
